id	authId	authSource	name
GND-1013329228	1013329228	GND	Casoni, Giovanni
GND-1025872487	1025872487	GND	Lopez, Michele
GND-118806939	118806939	GND	Winkelmann, Stephan August
GND-11623539X	11623539X	GND	Klotz, Reinhold
GND-124211968	124211968	GND	Avolio, Francesco di Paola
GND-116638044	116638044	GND	Laborde, Léon de
GND-116921048	116921048	GND	Guigniaut, Joseph Daniel
GND-118659308	118659308	GND	Boncompagni, Baldassarre
GND-104378476	104378476	GND	Reimers, Peter Hinrich
KPE-906281	906281	KPE	Ambrosio, Vincenzo de
GND-124248721	124248721	GND	Bonucci, Carlo
GND-116718439	116718439	GND	Franks, Augustus Wollaston
GND-136991092	136991092	GND	Jahn, Jakob
GND-38352-1	38352-1	GND	Bodleian Library (Oxford)
GND-118927507	118927507	GND	Hase, Karl August von
GND-1055229396	1055229396	GND	Angelucci, Giulio Anastasio
GND-116226560	116226560	GND	Bötticher, Carl
GND-117308110	117308110	GND	Weizsäcker, Carl
KPE-915813	915813	KPE	Candelori, Polycarp
GND-100146694	100146694	GND	Gruppe, Otto Friedrich
GND-117399647	117399647	GND	Winckelmann, August Wilhelm
GND-119473666	119473666	GND	Schäfer, Johann Adam
GND-117604429	117604429	GND	Movers, Franz Carl
KPE-900548	900548	KPE	Nardoni, Leone
GND-116472987	116472987	GND	Ferrucci, Luigi Crisostomo
GND-104117672	104117672	GND	Schneider, Johann Gottlob
GND-117022470	117022470	GND	Zumpt, Karl Gottlob
GND-104243309	104243309	GND	Pourtales-Gorgier, James de
KPE-915623	915623	KPE	Camilli, Stefano
GND-117681938	117681938	GND	Vermiglioli, Giovanni Battista
GND-116723300	116723300	GND	Henzen, Auguste
GND-117743135	117743135	GND	Schelle, Karl Eduard
GND-116765488	116765488	GND	Sallet, Alfred von
GND-116937939	116937939	GND	Hoffmann, Friedrich
GND-11730526X	11730526X	GND	Strack, Friedrich
GND-117373990	117373990	GND	Sieveking, Karl
GND-119168596	119168596	GND	Rehbenitz, Theodor
GND-100132170	100132170	GND	Feuerbach, Anselm
GND-100793509	100793509	GND	Luynes, Honoré Théodore Paul Joseph d'Albert de
GND-117377600	117377600	GND	Wilberg, Friedrich Wilhelm
GND-119425378	119425378	GND	Kölle, Christoph Friedrich Karl
GND-118504177	118504177	GND	Arnim, Achim von
GND-116182431	116182431	GND	Kirchhoff, Adolf
GND-117278599	117278599	GND	Teuffel, Wilhelm Sigismund
GND-130123552	130123552	GND	Brockhaus, Friedrich
GND-11738688X	11738688X	GND	Tippelskirch, Friedrich Carl Ernst August von
GND-1128097672	1128097672	GND	Brühl, Albrecht von
GND-141042532	141042532	GND	De Fabris, Emilio
GND-116750502	116750502	GND	Freitag, Rudolf
GND-1018415580	1018415580	GND	Gatti, Giuseppe
KPE-906431	906431	KPE	Arduini, Carlo
GND-11766376X	11766376X	GND	Dureau de La Malle, Adolphe Jules César Auguste
GND-115368302	115368302	GND	Hirt, Aloys Ludwig
GND-117594903	117594903	GND	Lanza, Francesco
GND-118992759	118992759	GND	Riepenhausen, Johannes
GND-119034778	119034778	GND	Passow, Franz
GND-118544489	118544489	GND	Händel, Georg Friedrich
GND-118993992	118993992	GND	Sydow, Emil von
GND-11637070X	11637070X	GND	Asmussen, Jacob
GND-116666072	116666072	GND	Heinrich, Carl Friedrich
GND-118786113	118786113	GND	Nicolovius, Georg Heinrich Ludwig
GND-118837877	118837877	GND	Thiersch, Friedrich Wilhelm
GND-116823151	116823151	GND	Graser, Johann Bernhard
GND-121065847	121065847	GND	Arnswald, Bernhard von
GND-117571326	117571326	GND	Laborde, Alexandre de
GND-118748785	118748785	GND	Solger, Karl Wilhelm Ferdinand
KPE-784996	784996	KPE	Gerstäcker, Adolph Theodor
GND-116661674	116661674	GND	Forchhammer, Peter Wilhelm
GND-117499048	117499048	GND	Schmid, Ignaz Dominikus Cyriacus
GND-117031372	117031372	GND	Jacob, Friedrich
GND-117246077	117246077	GND	Schulz, Heinrich Wilhelm
GND-118983776	118983776	GND	Kopisch, August
GND-118789465	118789465	GND	Panizzi, Anthony
GND-118693433	118693433	GND	Friedländer, Ludwig
GND-116857374	116857374	GND	Schöll, Adolf
KPE-897145	897145	KPE	Dei, Luigi
GND-11860130X	11860130X	GND	Ritter, Carl
GND-116170204	116170204	GND	Kießling, Adolf
GND-118795155	118795155	GND	Schlosser, Friedrich Christoph
GND-104256788	104256788	GND	Scharf, George
GND-119024187	119024187	GND	Cockerell, Charles Robert
GND-116477202	116477202	GND	Cattaneo, Gaetano
GND-116278021	116278021	GND	Pourtalès, Friedrich von
KPE-379738	379738	KPE	Bunsen, Christiane
GND-117013110	117013110	GND	Micali, Giuseppe
GND-118556657	118556657	GND	Jahn, Otto
GND-118722107	118722107	GND	Kestner, August
GND-1151328251	1151328251	GND	Logiotatides, Spyridon
GND-118710036	118710036	GND	Helbig, Wolfgang
GND-116796014	116796014	GND	Heyse, Theodor
GND-117044237	117044237	GND	Millin, Aubin L.
GND-116698829	116698829	GND	François, Alessandro
GND-118554727	118554727	GND	Humboldt, Wilhelm von
GND-116866209	116866209	GND	Gropius, George
GND-118960407	118960407	GND	Adler, Friedrich
GND-119512831	119512831	GND	Lassen, Christian
KPE-844724	844724	KPE	Unbekannt
KPE-915465	915465	KPE	Brilli, Lodovico
GND-119322625	119322625	GND	Baltard, Victor
GND-117132551	117132551	GND	Walz, Christian
GND-119242559	119242559	GND	Henzen, Wilhelm
GND-119508311	119508311	GND	Mertens-Schaaffhausen, Sibylle
KPE-897243	897243	KPE	Gourieff, Nicolas
GND-118592858	118592858	GND	Pertz, Georg Heinrich
KPE-914760	914760	KPE	Bartoloni Boni, Bernardino
KPE-915432	915432	KPE	Bracci, Emilio
GND-118987224	118987224	GND	Rumohr, Carl Friedrich von
GND-116186402	116186402	GND	Pinder, Moritz
GND-118658638	118658638	GND	Beseler, Wilhelm Hartwig
GND-116276444	116276444	GND	Köhler, Heinrich Karl Ernst von
GND-1142269973	1142269973	GND	Gargiulo, Raffaele
GND-118594869	118594869	GND	Platen, August von
GND-118535455	118535455	GND	Freytag, Gustav
GND-11856224X	11856224X	GND	Kinkel, Gottfried
GND-118529250	118529250	GND	Ehrenberg, Christian Gottfried
GND-117543446	117543446	GND	Mayer, Gustav
GND-117550981	117550981	GND	Graberg af Hemso, Jacob
GND-118656317	118656317	GND	Bernays, Jacob
GND-118598279	118598279	GND	Ranke, Leopold von
KPE-915925	915925	KPE	Capocelli, Alessandro
GND-116378328	116378328	GND	Hagen, August
GND-11870527X	11870527X	GND	Hittorff, Jacques Ignace
GND-116117044	116117044	GND	Dietzel, Gustav
GND-118542257	118542257	GND	Grimm, Jacob
GND-121409406	121409406	GND	Karajan, Theodor Georg von
GND-116920556	116920556	GND	Guhl, Ernst Karl
GND-118727699	118727699	GND	Lepsius, Carl Richard
GND-116257474	116257474	GND	Ahrens, Heinrich Ludolf
GND-116478888	116478888	GND	Geel, Jacob
GND-116021438	116021438	GND	Kahlert, Anton Josef
GND-1055349189	1055349189	GND	Aldini, Pier Vittorio
GND-115154094	115154094	GND	Sacken, Eduard von
GND-11880510X	11880510X	GND	Schopenhauer, Adele
KPE-636631	636631	KPE	Schwabe, M...
GND-117327026	117327026	GND	Westphal, Rudolf
KPE-915071	915071	KPE	Parkley
GND-1055088830	1055088830	GND	Quaranta, Bernardo
GND-117703419	117703419	GND	Visconti, Alessandro
GND-118912003	118912003	GND	Rossetti, Domenico
